date,start_time,round,dayofweek,venue,result,goals_for,goals_against,opponent,passes_completed_x,passes_x,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,goals,shots,shots_on_target,shots_on_target_pct,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,passes_y,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses_x,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed_y,passes_offsides,passes_blocked,sca,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won_x,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions_x,tackles_interceptions,clearances,errors,possession,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses_y,interceptions_y,tackles_won_y,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,season
2021-01-30,17:30,Matchweek 21,Sat,Away,D,0,0,Manchester Utd,520,620,83.9,8775,2645,257,276,93.1,218,245,89.0,36,65,55.4,0,1.4,1.0,10,43,11,2,43,0,14,3,21.4,0.0,0.0,18.2,1,0,0,1.6,1.6,0.12,-1.6,-1.6,620,566,52,8,0,5,24,25,7,4,2,0,520,2,15,23,18,2,0,2,1,0,0,0,0,0,0,0,0,10,4,4,4,2,3,9,33.3,6,12,6,6,16,26,13,0,57,715,70,215,309,195,29,715,13,6,46.2,7,53.8,353,1927,1114,21,17,4,11,6,518,43,3,0,0,16,9,2,24,16,4,0,0,0,52,12,10,54.5,2020
2021-02-02,18:00,Matchweek 22,Tue,Home,W,2,1,Wolves,548,627,87.4,9676,2637,255,267,95.5,237,260,91.2,52,75,69.3,1,0.7,0.7,10,34,6,2,34,2,10,6,60.0,0.1,0.17,19.4,0,1,1,1.5,0.7,0.07,0.5,0.3,627,583,43,10,2,3,27,18,9,3,1,0,548,1,11,22,16,2,3,0,1,0,4,3,0,0,0,1,0,10,7,6,2,2,3,11,27.3,8,6,4,2,6,16,18,1,55,709,51,186,354,175,19,708,27,18,66.7,9,33.3,375,2604,1362,30,18,6,12,4,546,34,3,0,0,11,7,1,27,6,7,1,0,0,35,11,12,47.8,2020
2021-02-06,12:30,Matchweek 23,Sat,Home,W,1,0,Aston Villa,254,348,73.0,4764,2131,107,126,84.9,93,111,83.8,38,76,50.0,1,1.1,0.7,11,20,7,1,19,1,12,8,66.7,0.08,0.13,16.6,0,0,0,1.2,1.2,0.1,-0.2,-0.2,348,298,49,12,0,2,8,21,3,2,0,0,254,1,7,20,15,0,3,1,0,1,1,1,0,0,0,0,0,18,8,9,8,1,10,15,66.7,5,13,5,8,10,28,33,0,35,477,90,182,172,128,19,477,18,10,55.6,8,44.4,221,1103,501,14,6,7,18,4,253,18,3,0,0,12,11,1,8,10,8,0,0,0,43,24,19,55.8,2020
2021-02-14,16:30,Matchweek 24,Sun,Away,L,2,4,Leeds United,419,540,77.6,7326,2167,170,197,86.3,195,220,88.6,40,92,43.5,2,0.9,0.7,8,34,4,1,38,2,9,5,55.6,0.22,0.4,17.6,0,0,0,0.9,0.9,0.1,1.1,1.1,540,498,42,10,0,2,17,18,5,2,3,0,419,0,9,15,13,1,0,1,0,0,4,2,1,0,1,0,0,10,9,5,4,1,7,14,50.0,7,12,5,7,11,21,10,2,54,634,101,254,259,124,17,634,8,7,87.5,1,12.5,322,1831,858,14,5,5,21,4,414,36,2,0,0,17,8,0,17,11,9,0,1,0,65,14,12,53.8,2020
2021-02-21,16:30,Matchweek 25,Sun,Away,W,1,0,Manchester City,549,626,87.7,9799,2846,245,263,93.2,253,273,92.7,46,74,62.2,1,1.2,0.9,11,50,9,0,45,1,15,3,20.0,0.07,0.33,16.2,0,0,0,1.8,1.8,0.12,-0.8,-0.8,626,584,39,12,3,5,7,14,3,0,0,0,549,3,6,25,19,2,3,1,0,0,2,2,0,0,0,0,0,5,3,2,2,1,4,14,28.6,10,6,3,3,7,12,18,1,55,703,57,160,359,190,33,703,23,19,82.6,4,17.4,461,2551,1545,32,24,14,8,4,540,44,2,0,0,9,11,3,7,7,3,0,0,0,44,9,12,42.9,2020
2021-02-28,12:00,Matchweek 26,Sun,Home,L,1,3,Leicester City,336,437,76.9,5756,2082,142,166,85.5,146,169,86.4,31,67,46.3,0,0.2,0.3,5,30,4,1,26,1,8,3,37.5,0.13,0.33,18.1,0,0,0,0.4,0.4,0.05,0.6,0.6,437,408,29,4,0,1,9,14,2,2,0,0,336,0,6,12,7,0,2,0,0,3,1,0,0,0,0,0,1,21,12,11,8,2,13,22,59.1,9,12,4,8,12,33,14,0,44,540,73,239,229,79,15,540,11,6,54.5,5,45.5,325,1411,667,8,9,2,12,4,329,26,2,0,0,15,3,0,9,12,12,0,1,0,52,14,13,51.9,2020
2021-03-06,12:30,Matchweek 27,Sat,Home,D,1,1,Burnley,322,459,70.2,6107,2437,135,159,84.9,129,165,78.2,49,104,47.1,0,0.4,0.4,4,27,8,1,35,1,9,5,55.6,0.11,0.2,18.2,0,0,0,1.1,1.1,0.12,-0.1,-0.1,459,414,43,14,0,6,16,21,2,1,0,0,322,2,8,12,10,1,1,0,0,0,0,0,0,0,0,0,0,15,11,7,6,2,7,10,70.0,3,18,7,11,11,26,17,1,41,558,53,158,272,132,14,558,7,4,57.1,3,42.9,188,922,335,4,7,3,14,9,321,35,1,0,0,5,10,2,16,11,11,0,0,0,62,26,26,50.0,2020
2021-03-14,16:30,Matchweek 28,Sun,Away,L,1,2,Tottenham,421,520,81.0,8052,2386,172,189,91.0,179,211,84.8,58,92,63.0,1,0.2,0.3,3,16,4,0,27,1,6,3,50.0,0.17,0.33,18.9,2,0,0,0.4,0.4,0.06,0.6,0.6,520,477,42,9,0,6,11,21,3,2,1,0,421,1,6,10,5,2,0,1,2,0,2,2,0,0,0,0,0,18,13,10,8,0,9,18,50.0,9,16,2,14,6,24,28,0,48,626,81,271,272,87,8,626,22,12,54.5,10,45.5,336,1553,676,8,11,1,7,10,417,27,4,1,1,14,12,1,11,6,13,0,1,0,42,23,11,67.6,2020
2021-03-21,15:00,Matchweek 29,Sun,Home,D,3,3,West Ham,281,394,71.3,4798,1842,120,147,81.6,105,132,79.5,32,69,46.4,3,2.1,1.0,12,29,9,3,36,3,15,5,33.3,0.2,0.6,12.9,0,0,0,2.4,2.4,0.16,0.6,0.6,394,352,41,7,0,4,19,22,3,1,2,0,281,1,10,27,19,3,1,2,2,0,5,2,1,0,1,1,0,12,5,5,6,1,6,15,40.0,9,9,6,3,12,24,21,0,38,487,68,163,196,133,25,487,12,7,58.3,5,41.7,244,1519,693,16,7,7,9,5,276,36,3,0,0,18,8,1,19,12,5,0,0,2,57,16,23,41.0,2020
2021-04-03,20:00,Matchweek 30,Sat,Away,W,3,0,Liverpool,638,751,85.0,10600,3078,321,353,90.9,254,281,90.4,48,79,60.8,2,1.9,1.5,10,33,14,3,39,3,16,7,43.8,0.19,0.43,18.2,0,0,0,2.4,2.4,0.15,0.6,0.6,751,714,34,10,1,8,21,20,2,0,1,0,638,3,6,28,20,1,4,0,1,2,6,5,0,1,0,0,0,18,11,2,10,6,9,15,60.0,6,5,1,4,6,24,11,0,64,830,53,225,428,183,28,830,19,13,68.4,6,31.6,555,2202,1052,19,13,4,14,15,629,38,1,0,0,10,10,3,21,6,11,0,0,0,57,19,13,59.4,2020
2021-04-11,19:00,Matchweek 31,Sun,Home,L,0,3,Sheffield Utd,417,500,83.4,6821,2174,216,233,92.7,150,170,88.2,38,72,52.8,0,0.3,0.3,5,25,6,1,30,0,7,2,28.6,0.0,0.0,20.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3,500,463,35,9,0,3,9,15,2,0,0,0,417,2,8,10,9,1,0,0,0,0,0,0,0,0,0,0,0,16,7,9,6,1,7,15,46.7,8,10,6,4,5,21,20,1,45,587,78,228,271,92,11,587,5,3,60.0,2,40.0,406,1874,817,4,4,3,11,10,414,30,1,0,0,9,5,2,9,5,7,0,0,0,41,9,14,39.1,2020
2021-04-18,13:30,Matchweek 32,Sun,Away,D,1,1,Fulham,219,306,71.6,3791,1378,96,116,82.8,99,119,83.2,17,54,31.5,0,0.0,0.1,1,12,2,0,15,1,2,0,0.0,0.0,,29.8,0,1,1,0.9,0.1,0.04,0.1,-0.1,306,261,45,13,0,1,6,13,1,1,0,0,219,0,5,4,2,0,0,1,1,0,1,0,0,0,0,1,0,12,8,8,4,0,9,20,45.0,11,10,5,5,11,23,33,0,31,414,97,216,143,62,10,413,21,11,52.4,10,47.6,224,1202,532,10,5,3,11,8,219,15,3,0,0,11,9,0,6,11,8,1,0,0,38,17,19,47.2,2020
2021-04-23,20:00,Matchweek 33,Fri,Away,W,1,0,Everton,375,466,80.5,6677,2417,168,190,88.4,161,179,89.9,35,70,50.0,0,0.4,0.4,4,20,4,1,22,0,8,1,12.5,0.0,0.0,20.8,2,0,0,0.5,0.5,0.07,-0.5,-0.5,466,434,31,13,0,3,11,9,3,3,0,0,375,1,8,14,8,0,2,2,2,0,0,0,0,0,0,0,0,19,14,12,4,3,10,16,62.5,6,10,8,2,8,27,20,1,41,551,100,284,210,63,10,551,10,9,90.0,1,10.0,228,1297,644,10,6,2,9,9,374,22,3,0,0,10,13,1,11,8,14,0,0,0,46,12,11,52.2,2020
2021-05-02,14:00,Matchweek 34,Sun,Home,L,0,2,Newcastle Utd,363,434,83.6,6626,2222,165,172,95.9,150,172,87.2,43,77,55.8,0,0.3,0.2,5,19,0,0,14,0,5,1,20.0,0.0,0.0,20.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3,434,395,38,10,0,6,20,13,3,3,0,0,363,1,3,10,5,2,2,0,1,0,0,0,0,0,0,0,0,12,6,7,5,0,6,14,42.9,8,9,5,4,7,19,13,0,39,508,71,232,198,82,8,508,18,14,77.8,4,22.2,355,1854,966,17,14,4,10,2,358,14,2,1,0,10,9,1,20,7,6,0,0,0,37,11,10,52.4,2020
